image_path,style,confidence,description
images/glamour/glamour_000006.jpg,glamour,0.4463,a portrait of a person with a glamorous bold makeup look
images/minimaliste/minimaliste_000007.jpg,minimaliste,0.2898,a portrait of a person with a minimalist clean simple look
images/professionnel/professionnel_000008.jpg,professionnel,0.3285,a portrait of a person with a professional polished business look
images/doux/doux_000009.jpg,doux,0.2799,a portrait of a person with a soft romantic gentle makeup look
images/minimaliste/minimaliste_000010.jpg,minimaliste,0.2176,a portrait of a person with a minimalist clean simple look
images/professionnel/professionnel_000012.jpg,professionnel,0.6972,a portrait of a person with a professional polished business look
images/minimaliste/minimaliste_000013.jpg,minimaliste,0.3483,a portrait of a person with a minimalist clean simple look
images/naturel/naturel_000014.jpg,naturel,0.7425,a portrait of a person with a natural fresh no-makeup look
images/professionnel/professionnel_000015.jpg,professionnel,0.7499,a portrait of a person with a professional polished business look
images/minimaliste/minimaliste_000016.jpg,minimaliste,0.3076,a portrait of a person with a minimalist clean simple look
images/doux/doux_000018.jpg,doux,0.2158,a portrait of a person with a soft romantic gentle makeup look
images/boheme/boheme_000019.jpg,boheme,0.5315,a portrait of a person with a bohemian artistic free-spirited look
images/boheme/boheme_000020.jpg,boheme,0.4534,a portrait of a person with a bohemian artistic free-spirited look
images/professionnel/professionnel_000021.jpg,professionnel,0.7192,a portrait of a person with a professional polished business look
images/naturel/naturel_000022.jpg,naturel,0.2436,a portrait of a person with a natural fresh no-makeup look
images/professionnel/professionnel_000023.jpg,professionnel,0.3454,a portrait of a person with a professional polished business look
images/glamour/glamour_000024.jpg,glamour,0.3319,a portrait of a person with a glamorous bold makeup look
images/professionnel/professionnel_000025.jpg,professionnel,0.3883,a portrait of a person with a professional polished business look
images/naturel/naturel_000026.jpg,naturel,0.3216,a portrait of a person with a natural fresh no-makeup look
images/naturel/naturel_000027.jpg,naturel,0.2319,a portrait of a person with a natural fresh no-makeup look
images/boheme/boheme_000030.jpg,boheme,0.2627,a portrait of a person with a bohemian artistic free-spirited look
images/naturel/naturel_000031.jpg,naturel,0.7562,a portrait of a person with a natural fresh no-makeup look
images/professionnel/professionnel_000032.jpg,professionnel,0.7945,a portrait of a person with a professional polished business look
images/professionnel/professionnel_000033.jpg,professionnel,0.3451,a portrait of a person with a professional polished business look
